Elijah,Rogers,36,F,Urdu,83179,Elijah.Rogers@yahoo.com,Youtube Facebook,PC_Users University_of_Tennessee_Fans PC_Users,39,65496
Willow,Murphy,66,F,Russian,18041,Willow.Murphy@gmail.com,Twitter Amazon,Emacs_Users Mac_Users Deep_Space_Enthusiasts,136,65399
Santiago,Allen,21,F,Arabic,84039,Santiago.Allen@yahoo.com,Twitter Amazon,Mac_Users Linux_Users,145,65390
Adrian,James,80,F,Malay,96896,Adrian.James@hotmail.net,Google Amazon Google,OU_Fans College_Football_Fans,63,65472
Matthew,Perry,76,M,Urdu,91901,Matthew.Perry@comcast.net,Twitter Youtube Youtube,PC_Users,109,65426
Axel,Martin,16,M,Hindi,12223,Axel.Martin@hotmail.net,Facebook Youtube,Emacs_Users Emacs_Users,392,65143
Nora,Jones,16,M,Russian,50140,Nora.Jones@hotmail.net,Amazon Borg Google,Golfers Emacs_Users,213,65322
Paisley,Sanchez,30,F,Bengali,41809,Paisley.Sanchez@yahoo.com,Twitter Amazon Amazon,OU_Fans,47,65488
Elena,Phillips,27,M,Urdu,28845,Elena.Phillips@hotmail.net,Youtube,Mac_Users,476,65059
Jordan,Patterson,47,F,French,18045,Jordan.Patterson@yahoo.com,Twitter Amazon Youtube,College_Football_Fans PC_Users Emacs_Users,292,65243
Isabella,Bell,18,F,Urdu,76922,Isabella.Bell@gmail.com,Twitter Twitter Youtube,Deep_Space_Enthusiasts Emacs_Users PC_Users,240,65295
Ariana,James,34,F,Mandarin,72097,Ariana.James@comcast.net,Amazon Youtube Amazon,Vim_Users University_of_Tennessee_Fans,145,65390
Sofia,Rogers,75,F,Bengali,3962,Sofia.Rogers@hotmail.net,Amazon Borg,OU_Fans Deep_Space_Enthusiasts University_of_Tennessee_Fans,411,65124
Kayden,Baker,16,F,Hindi,18544,Kayden.Baker@comcast.net,Twitter Twitter Twitter,Linux_Users Mac_Users,253,65282
Dylan,Cook,64,F,French,35994,Dylan.Cook@comcast.net,Twitter Amazon Facebook,Linux_Users Okstate_Fans,263,65272
Eli,Moore,66,F,Arabic,14268,Eli.Moore@hotmail.net,Amazon Youtube Google,Mac_Users,241,65294
Addison,Martin,22,F,Bengali,46913,Addison.Martin@gmail.com,Twitter Google Twitter,Linux_Users Deep_Space_Enthusiasts Emacs_Users,240,65295
Genesis,Bryant,81,M,Arabic,14118,Genesis.Bryant@comcast.net,Twitter Facebook Youtube,Linux_Users,94,65441
Roman,Foster,63,M,English,78773,Roman.Foster@gmail.com,Twitter,Emacs_Users,504,65031
Natalie,Rodriguez,49,M,English,70408,Natalie.Rodriguez@gmail.com,Youtube Borg,Emacs_Users,72,65463
Mia,Foster,45,F,Portuguese,13691,Mia.Foster@hotmail.net,Facebook,Mac_Users,451,65084
Sarah,Morgan,28,M,Russian,22827,Sarah.Morgan@comcast.net,Twitter Twitter Borg,Deep_Space_Enthusiasts,359,65176
Ivy,Diaz,81,M,Urdu,17657,Ivy.Diaz@hotmail.net,Twitter,Linux_Users Okstate_Fans OU_Fans,476,65059
Liam,Reed,42,M,French,44362,Liam.Reed@gmail.com,Twitter Google,Mac_Users OU_Fans,480,65055
Jonathan,Flores,32,F,Mandarin,42770,Jonathan.Flores@yahoo.com,Google Google Youtube,Okstate_Fans,252,65283
Nevaeh,Murphy,70,F,Portuguese,96660,Nevaeh.Murphy@comcast.net,Borg,Mac_Users Okstate_Fans,504,65031
Piper,Price,81,M,Arabic,21714,Piper.Price@comcast.net,Google,Linux_Users Mac_Users,464,65071
Caleb,James,25,F,Spanish,93351,Caleb.James@hotmail.net,Youtube,Emacs_Users,267,65268
Ava,Young,43,M,English,14143,Ava.Young@hotmail.net,Facebook Google Youtube,University_of_Tennessee_Fans,403,65132
Joshua,Hughes,60,F,French,17049,Joshua.Hughes@hotmail.net,Twitter,University_of_Tennessee_Fans,140,65395
Samantha,Foster,41,F,Mandarin,92583,Samantha.Foster@hotmail.net,Facebook Youtube,College_Football_Fans,427,65108
Charles,Flores,60,F,French,24902,Charles.Flores@comcast.net,Youtube Borg,College_Football_Fans Deep_Space_Enthusiasts,501,65034
Grace,Patterson,58,M,Urdu,56927,Grace.Patterson@comcast.net,Borg Facebook Amazon,PC_Users,303,65232
Maya,Griffin,54,M,Russian,30575,Maya.Griffin@yahoo.com,Google Borg Facebook,Deep_Space_Enthusiasts Emacs_Users,200,65335
Everett,Mitchell,41,F,Urdu,57013,Everett.Mitchell@yahoo.com,Youtube Facebook,College_Football_Fans,234,65301
Eleanor,Rodriguez,22,M,French,2269,Eleanor.Rodriguez@comcast.net,Twitter Google,Linux_Users OU_Fans,301,65234
Ariana,Reed,44,M,Malay,44431,Ariana.Reed@yahoo.com,Borg,Vim_Users OU_Fans,123,65412
Santiago,Nelson,46,F,Portuguese,2976,Santiago.Nelson@gmail.com,Google Youtube,Okstate_Fans PC_Users,381,65154
Nevaeh,Morgan,81,F,Mandarin,78785,Nevaeh.Morgan@gmail.com,Borg Youtube Amazon,Mac_Users,51,65484
Gianna,Mitchell,76,M,Malay,26548,Gianna.Mitchell@yahoo.com,Youtube Twitter Amazon,Emacs_Users OU_Fans Deep_Space_Enthusiasts,363,65172
Ava,Martin,13,M,Malay,32492,Ava.Martin@yahoo.com,Borg,University_of_Tennessee_Fans,321,65214
